id,restaurant known for,delivery_rating,delivery_review_number,location,timings,average_price,Dishes,cuisines
121,"Cute Packaging, Extensive Menu, Food Presentation, Timely Service, Worth the Money, Delicious Food",3.4,328,"Rajajinagar, Bangalore",,₹200,,"['Biryani', 'Fast Food']"
122,"Fair Prices, Weekend Brunch, Good Wifi, Proper Packaging, Customizable Food, Fresh Food",3.9,3,"BTM, Bangalore",,₹250,,"['Biryani', 'North Indian', 'Chinese', 'Seafood', 'Street Food']"
123,"Tandoori, Parking, Nice Taste, Best Places, Tasty, Good Taste",4.0,13.2,"Frazer Town, Bangalore",12noon – 1:30am,₹400,"Seekh Roll, Chicken Shawarama, Kababs, Beef, Noodles, Chicken Biryani","['Mughlai', 'Chinese', 'North Indian', 'Rolls', 'Sichuan']"
124,,4.2,1,"Garuda Mall, Magrath Road, Bangalore",10am – 1am,₹400,,"['Beverages', 'Shake', 'Desserts']"
125,,4.3,1,"Koramangala 5th Block, Bangalore",,₹100,,"['Bakery', 'Desserts']"
126,"Very Affordable, Healthy and Delicious, Mouth Watering Food, Fresh Food with Good Quality, Spill Proof Packaging, Timely Service",3.6,650,"Basaveshwara Nagar, Bangalore",,₹150,,"['Street Food', 'Fast Food', 'Tea', 'North Indian']"
127,,3.8,72,"Shanti Nagar, Bangalore",,₹200,,"['North Indian', 'Biryani']"
128,"Comfortable Seating Area, Good Quantity, Reasonable Price, Good Taste, Value for Money, Prices",4.0,20.4,"BTM, Bangalore",Opens at 11:30am,₹400,,"['Chinese', 'Seafood', 'Sichuan']"
129,,4.0,53,"Vasanth Nagar, Bangalore",,₹200,,"['Healthy Food', 'Pizza', 'North Indian', 'Burger', 'Biryani', 'Chinese', 'Desserts', 'Beverages']"
130,"Great Veg Options, Worth the Money, Portion, Good Taste, Timely Service, Value for Money",3.7,2,"Rajajinagar, Bangalore",24 Hours,₹250,,"['North Indian', 'Chinese']"
131,,4.1,477,"Majestic, Bangalore",24 Hours,₹300,,"['Biryani', 'North Indian']"
132,,4.3,609,"Hosur Road, Bangalore",,₹250,,"['Momos', 'Chinese']"
133,,3.8,90,"Frazer Town, Bangalore",Opens at 1:30pm,₹950,,"['Arabian', 'Lebanese', 'North Indian', 'Chinese', 'Mughlai', 'Beverages']"
134,,3.4,1,"RT Nagar, Bangalore",,₹250,,"['Chinese', 'Seafood', 'Momos', 'Sichuan']"
135,,4.3,505,"Commercial Street, Bangalore",,₹200,,"['North Indian', 'Healthy Food', 'Beverages', 'Desserts']"
136,,3.7,1,"Shivajinagar, Bangalore",,₹150,,"['North Indian', 'Chinese', 'Mughlai']"
137,"Good Quantity, Good Taste, Best Place, Value for Money, Prices, Good Service",4.1,5,"Shivajinagar, Bangalore",Opens at 10am,₹800,"Mutton Paya, Mutton Brain, Ghee Rice, Chicken Kabab, Kebabs, Tandoori Chicken","['Biryani', 'North Indian']"
138,"Best Quality, Cute Packaging, Food Presentation, Worth the Money, Extensive Menu, Delicious Food",3.7,1,"Rajajinagar, Bangalore",,₹200,,"['Biryani', 'Chinese', 'North Indian']"
139,"Good for Large Groups, Comfortable Seating Area, Good Hygiene, Relaxed Atmosphere, Fancy Crowd, Quality of Food",3.9,37.9,"Koramangala 7th Block, Bangalore","12midnight – 3am, 11am – 12midnight",₹950,"Murgh Ke Sholey, Paneer Kali Mirch, Sarso Da Saag, Paneer Punjabi, Punjabi Chicken, Makke Di Roti","['North Indian', 'Chinese', 'Mughlai', 'Biryani', 'Beverages']"
140,"Very Affordable, Fresh Ingredients, Great Quality, Healthy Food, Reasonable Prices, Good Packaging",3.8,12,"BTM, Bangalore",Opens at 9am,₹100,"Methi Malai Matar, Kadai Mushroom, Lacha Paratha, Mushroom Manchurian, Mixed Fried Rice, Paneer Chilli","['North Indian', 'Chinese', 'Sichuan']"
141,"Clean and Hygienic Place, Hygiene, Family Crowd, Customer Service, Manager, Food Presentation",4.1,3,"Frazer Town, Bangalore","12midnight – 1:30am, 1pm – 12midnight",₹1,,"['North Indian', 'Mandi', 'Mughlai', 'Kebab', 'Desserts']"
142,,3.7,216,"Vasanth Nagar, Bangalore",,₹300,,"['Bakery', 'Desserts', 'Ice Cream', 'Shake']"
143,,4.3,582,"Lavelle Road, Bangalore",Opens at 7am,₹600,,"['Cafe', 'Coffee', 'Desserts', 'Beverages']"
144,,3.9,2,"Richmond Road, Bangalore","12midnight – 5am, 11:30am – 12midnight",₹300,,"['Chinese', 'Fast Food', 'Rolls', 'BBQ', 'North Indian']"
145,,4.3,248,"Residency Road, Bangalore",Opens at 5pm,₹150,,"['South Indian', 'Beverages']"
146,,4.4,376,"Commercial Street, Bangalore",,₹350,,"['North Indian', 'Biryani', 'Mughlai', 'Kebab', 'Rolls', 'Desserts', 'Modern Indian']"
147,,4.1,2,"BTM, Bangalore","12midnight – 5:30am, 12:15pm – 12midnight",₹250,,"['Shawarma', 'Fast Food']"
148,"Large Servings, Excellent Food Quality, Food Tastes Great, Healthy and Delicious, Contactless Delivery, Fresh Food with Good Quality",4.3,2,"Koramangala 8th Block, Bangalore",,₹200,,"['Tea', 'Beverages', 'Sandwich', 'Street Food']"
149,"Good Taste, Fresh Food, Good Quality, Good Service, Good Food",3.5,8,"Kumaraswamy Layout, Bangalore",Opens at 8am,₹300,,"['North Indian', 'Chinese', 'Juices', 'Shake']"
150,"Food Tastes Great, Delicious, Best Quality, Good Packaging, Proper Packaging, Very Affordable",4.2,3,"Koramangala 7th Block, Bangalore",,₹350,"Truffle Fries, Classic Chicken Burger, Peri Fries, Wings","['Burger', 'Fast Food', 'Beverages', 'Desserts']"
151,,4.1,133,"Koramangala 5th Block, Bangalore",,₹200,,"['Kerala', 'Biryani', 'Chinese', 'South Indian', 'Seafood', 'Beverages']"
152,,3.3,391,"RT Nagar, Bangalore",,₹250,,"['Biryani', 'South Indian', 'Kebab']"
153,,4.2,961,"Koramangala 7th Block, Bangalore",,₹200,"Bubble Tea, Momos, Burgers, Drink","['Bubble Tea', 'Burger', 'Beverages', 'Tea', 'Fast Food', 'Street Food', 'Momos', 'Shake']"
154,"Customizable Food, Worth the Money, Fresh Food, Good Quality",3.4,782,"BTM, Bangalore","12midnight – 1am, 10am – 12midnight",₹450,,"['Fast Food', 'Street Food', 'Chinese', 'South Indian', 'Biryani', 'Beverages', 'Chettinad']"
155,,4.2,68,"Shanti Nagar, Bangalore",,₹150,,"['North Indian', 'Mithai', 'Fast Food']"
156,,3.8,121,"Koramangala 5th Block, Bangalore",,₹400,,"['Kerala', 'South Indian', 'Seafood', 'North Indian', 'Chinese', 'Shawarma', 'Biryani', 'Beverages']"
157,,4.2,417,"Thippasandra, Bangalore",Opens at 11:30am,₹1,,"['Biryani', 'Andhra', 'North Indian', 'Chinese', 'Kebab', 'Seafood', 'Desserts', 'Beverages']"
158,,4.2,485,"Koramangala 6th Block, Bangalore",,₹200,,"['North Indian', 'South Indian', 'Healthy Food', 'Desserts', 'Beverages', 'Andhra', 'Mithai', 'Pizza']"
159,"Variety of Pizza, Spill Proof Packaging, Packing, Tasty, Timely Service, Portion Size",4.6,3,"Koramangala 6th Block, Bangalore",,₹200,,['North Indian']
160,,4.3,62,"Shanti Nagar, Bangalore",,₹300,,"['Italian', 'Mexican', 'Pasta']"
161,"Cleanliness, Best Places, Student Crowd, Prices, Good Place, Portion",4.1,4,"Richmond Road, Bangalore",Opens at 12noon,₹500,"Beef Shwarma, Beef Rolls, Sheek Roll, Jumbo Roll, Haleem, Kababs","['Rolls', 'Biryani', 'Fast Food', 'Arabian']"
162,,3.7,45,"Koramangala 5th Block, Bangalore","12midnight – 3am, 11am – 12midnight",₹300,,"['Shawarma', 'Burger', 'Wraps', 'Street Food', 'Fast Food', 'Beverages', 'Shake']"
163,"Reasonable Prices, Packing, Value for Money, Taste",4.2,57,"Indiranagar, Bangalore",,₹300,,"['Bakery', 'Desserts', 'Ice Cream', 'Mithai', 'Beverages', 'Pizza']"
164,,4.2,287,"Seshadripuram, Bangalore",,₹300,,"['Biryani', 'South Indian', 'Mughlai', 'Andhra', 'Desserts', 'Hyderabadi']"
165,,3.4,251,"Rajajinagar, Bangalore",,₹200,,"['Biryani', 'Chinese']"
166,"Fusion Dishes, Variety of Veg Options, Ample Seating Area, Quality of Food, Relaxed Atmosphere, Food Delivery",3.3,2,"BTM, Bangalore",Opens at 12noon,₹950,"Chicken Garlic Tikka, Shawarma Wrap, Paneer Chilli, Noodle, Kababs, Sides","['Chinese', 'North Indian', 'Mughlai', 'Arabian', 'Kebab', 'Seafood', 'Biryani', 'Ice Cream']"
167,"Takeaway, Street Food, Prompt Service, Delivery Person, Best Places, Quick Service",4.1,8,"Indiranagar, Bangalore",12:30pm – 3am,₹500,"Mutton Sheek Roll, Veg Rolls, Keema, Paneer Roll, Kababs, Wraps","['North Indian', 'Rolls', 'Kebab', 'Mughlai', 'Biryani', 'Beverages']"
168,,3.5,311,"Vasanth Nagar, Bangalore",24 Hours,₹150,,"['Momos', 'Burger', 'Wraps', 'Fast Food', 'Desserts']"
169,"Extensive Bar Menu, Jain Food Options, Good Quality Good Service, Variety of Veg Options, Good for Large Groups, Comfortable Seating Area",3.9,16.7,"BTM, Bangalore",,₹950,"Grilled Chicken Steak, Paneer Biryani, Chicken Dum Biryani, Tandoori Chicken, Raita, Mutton Biryani","['North Indian', 'Hyderabadi', 'Chinese', 'Mughlai', 'Biryani', 'Kebab', 'Ice Cream', 'Desserts']"
170,"Good Quantity, Reasonable Price, Spicy, Good Taste, Fresh Food, Good Food",3.6,17,"Banashankari, Bangalore",Opens at 8am,₹400,,"['North Indian', 'Chinese']"
171,,3.7,1,"Rajajinagar, Bangalore",24 Hours,₹200,,['North Indian']
172,,3.6,261,"Vasanth Nagar, Bangalore",,₹150,,"['Burger', 'American', 'Fast Food', 'Desserts', 'Shake', 'Beverages']"
173,"Combo, Good Taste, Good Food, Good Quality",3.8,16.8,"Hosur Road, Bangalore","12midnight – 12:30am, 12noon – 12midnight",₹400,,"['Arabian', 'Sandwich', 'Burger', 'Biryani', 'Lebanese', 'Beverages', 'Juices', 'Shake']"
174,,3.9,501,"RT Nagar, Bangalore","12midnight – 5am, 11am – 12midnight",₹350,,"['Biryani', 'South Indian']"
175,"Good Value, Great Value, Good Quality Food, Decent Place, Decor, Reasonable Price",4.2,17.2,"Rajajinagar, Bangalore","11:30am – 3:30pm, 6:30pm – 12:30am",₹1,"Honey Chilli Potatoes, Chilli Chicken, Tandoori Chicken, Butter Chicken, Naan, Rolls","['North Indian', 'Mughlai', 'Oriental', 'Chinese', 'Rolls', 'Beverages']"
176,"Affordable Rate, Serving Staff, Pocket Friendly Restaurant, Comfortable Seating Area, Nice Hospitality, Gastronomical Experience",3.7,24.6,"Basaveshwara Nagar, Bangalore",Opens at 11am,₹1,"Paneer Chatpata, Ghee Roast Mutton, Sea Food Platter, Tangdi Kabab, Barbeque Chicken, Grill Chicken","['Arabian', 'North Indian']"
177,,4.4,484,"Koramangala 7th Block, Bangalore",,₹200,,"['Momos', 'Chinese', 'Asian', 'Japanese', 'Street Food', 'Tibetan', 'Finger Food', 'Beverages']"
178,"Best Food under Best Budget, Great Portions, Price, Quantity, Value for Money, Food",4.1,599,"Frazer Town, Bangalore",,₹250,,"['South Indian', 'Chettinad', 'Tamil']"
179,"Fresh Food, Value for Money, Good Quality, Ambience, Service",3.9,713,"BTM, Bangalore","12midnight – 2am, 11am – 12midnight",₹600,,"['Chinese', 'Oriental', 'Asian', 'Sichuan', 'Seafood', 'Momos']"
180,,3.7,284,"Majestic, Bangalore",Opens at 6am,₹200,,"['South Indian', 'North Indian', 'Street Food', 'Juices']"
181,,4.0,601,"Koramangala 7th Block, Bangalore",11:30am – 2am,₹1,,"['North Indian', 'Biryani', 'Mughlai', 'Seafood', 'Chinese', 'Hyderabadi']"
182,,4.5,154,"Garuda Mall, Magrath Road, Bangalore",10am – 1am,₹300,,"['Ice Cream', 'Desserts']"
183,"Comforting Atmosphere, Takeaway, Served Quickly, Nice Place, Good Quality, Value for Money",4.3,3,"Jayanagar, Bangalore",Opens at 8am,₹500,,"['Bakery', 'Desserts', 'Fast Food', 'Beverages']"
184,"Cheap and Affordable, Spill Proof Packaging, Flavour, Timely Service, Packing, Portion",3.9,3,"Indiranagar, Bangalore",,₹300,"Special Fried Rice, Ramen, Bao, Dimsums, Chilli Paneer, Manchow Soup","['Asian', 'Thai', 'Vietnamese', 'Japanese', 'Indonesian', 'Chinese', 'Korean', 'Burmese']"
185,,4.3,346,"Seshadripuram, Bangalore",,₹200,,['North Indian']
186,,4.0,211,"Koramangala 5th Block, Bangalore",Opens at 8am,₹500,,"['Kerala', 'South Indian', 'Chinese', 'Seafood', 'Beverages']"
187,"Elaborate Menu, Hygiene, Delivery Person, Young Crowd, Student Crowd, Good Wifi",4.4,7,"Indiranagar, Bangalore","12midnight – 12:30am, 10am – 12midnight",₹200,"Key Lime Pie, Red Velvet Cheesecake, Carrot Cake, Cup Cakes, Cheese Cakes, Cookie","['Bakery', 'Desserts']"
188,"Good Wifi, Student Crowd, Young Crowd, Fresh Food, Customizable Food, Worth the Money",3.5,7,"BTM, Bangalore",24 Hours,₹250,,"['North Indian', 'Street Food', 'Chinese']"
189,"Great Taste at Great Price, Delivery Person, Spill Proof Packaging, Customizable Food, Elaborate Menu, Flavour",4.0,9,"Shivajinagar, Bangalore",Opens at 9am,₹150,"Fruit Shake, Dry Fruit Lassi, Chocolate, Ice Cream","['Beverages', 'Shake', 'Juices', 'Fast Food', 'Street Food', 'Sandwich', 'Ice Cream']"
190,,3.4,71,"Rajajinagar, Bangalore",,₹150,,"['Burger', 'Pizza', 'Fast Food']"
191,"Portion Size, Value for Money, Worth the Money, Delicious Food, Quantity, Taste",4.0,2,"Thippasandra, Bangalore",,₹250,,['Burger']
192,,3.5,654,"RT Nagar, Bangalore",,₹250,,"['Chinese', 'Desserts', 'Seafood', 'Burger', 'Sichuan']"
193,,3.9,374,"Koramangala 8th Block, Bangalore",,₹100,,['South Indian']
194,,4.0,81,"Koramangala 6th Block, Bangalore",,₹150,,['Andhra']
195,,3.6,250,"RT Nagar, Bangalore",,₹200,,"['Shawarma', 'Fast Food']"
196,,3.3,145,"Vasanth Nagar, Bangalore",,₹200,,"['Ice Cream', 'Desserts', 'Shake']"
197,"Cute Packaging, Extensive Menu, Delicious Food, Timely Service, Good Taste, Worth the Money",3.9,1,"Domlur, Bangalore",,₹100,,"['North Indian', 'Street Food', 'Chinese', 'Beverages']"
198,,3.5,356,"BTM, Bangalore","12midnight – 6am, 11:30am – 3:30pm, 6:30pm – 12midnight",₹150,,"['Biryani', 'Chinese', 'Beverages', 'Desserts']"
199,"Totally Worth it, Pretty Decor, Pocket Friendly, Packed on Weekends, Cozy Place, Fast Service",4.3,12.8,"Building 105, Koramangala 5th Block, Bangalore","12midnight – 4am, 10am – 12midnight",₹400,"Ferrero Rocher Waffle, Caramel Chocolate, Melted Chocolate, Nutella Waffles, Red Velvet Waffle, Shakes","['Waffle', 'Desserts', 'Shake', 'Beverages']"
200,,4.1,321,"Koramangala 3rd Block, Bangalore",,₹200,,"['Momos', 'Fast Food']"
201,,3.4,182,"Rajajinagar, Bangalore",,₹100,,"['Burger', 'Pizza', 'Fast Food', 'Street Food']"
202,,3.9,956,"BTM, Bangalore","12midnight – 12:45am, 1pm – 12midnight",₹150,,"['Arabian', 'North Indian', 'Chinese', 'Biryani', 'Mughlai', 'Beverages', 'South Indian', 'Sichuan']"
203,,4.1,959,"BTM, Bangalore",Opens at 12:30pm,₹700,,"['North Indian', 'Chinese', 'Biryani']"
204,"Economical, Low Price, Authentic Taste, Prompt Service, Reasonable Price, Awesome Food",4.2,11.8,"BTM, Bangalore",Opens at 12noon,₹150,"Liti Chokha, Authentic Bihari Food, Nimbu Pani, Chutneys, Dal, Parathas","['North Indian', 'Bihari', 'Street Food', 'Chinese', 'Desserts', 'Beverages']"
205,"Contactless Delivery, Spill Proof Packaging, Packing, Timely Service, Quality, Price",3.7,2,"Indiranagar, Bangalore",,₹200,,"['Biryani', 'Beverages']"
206,"Weekend Brunch, Spill Proof Packaging, Contactless Delivery, Cute Packaging, Extensive Menu, Food Presentation",3.6,769,"Shanti Nagar, Bangalore","12midnight – 3am, 10am – 12midnight",₹150,"Crispy Chicken Roll, Lemon Soda, Paneer Tikka, Rolls, Cheesecake","['North Indian', 'Chinese', 'Rolls']"
207,,4.5,116,"Commercial Street, Bangalore",,₹350,,"['Bakery', 'Desserts', 'Sandwich', 'Beverages', 'Shake', 'Cafe']"
208,"Coffee Date, Totally Worth it, Table Service, Good Location, Cozy Place, Family Crowd",4.0,1,"MG Road, Bangalore",10am – 1am,₹500,"Butterscotch Ice Cream, Brownie Sizzler, Banana Split, Chocolate Fudge, Chilli Cheese Toast, Club Sandwich","['Ice Cream', 'Desserts', 'Bakery', 'Waffle', 'Sandwich', 'Shake']"
209,,4.3,655,"HBR Layout, Bangalore",,₹100,,"['Beverages', 'Shake']"
210,,3.5,60,"Vasanth Nagar, Bangalore",,₹200,,"['Fast Food', 'Burger', 'Momos', 'Rolls', 'Desserts', 'Bakery', 'Shake']"
211,"Economical, Good Portions, Reasonable Prices, Prompt Service, Polite Staff, Great Ambiance",4.0,6,"RT Nagar, Bangalore","12noon – 4pm, 7pm – 1am",₹300,,"['Mangalorean', 'North Indian', 'Biryani', 'Chinese']"
212,,3.9,3,"Koramangala 7th Block, Bangalore",,₹200,,"['North Indian', 'Biryani']"
213,"Good Taste, Great Portions, Experience, Price, Good Food",3.8,4,"BTM, Bangalore",9am – 4am,₹350,,"['Arabian', 'Biryani', 'Chinese', 'South Indian', 'Kerala', 'Shake', 'Juices', 'Beverages']"
214,,3.5,436,"Indiranagar, Bangalore",,₹100,,"['Chettinad', 'North Indian', 'Chinese']"
215,"Family Favorite, Nice Food Quality, Good Staffs, Good Services with Good People, Prompt Staff, Good Food Good Quality",4.1,17.3,"Frazer Town, Bangalore",11am – 2:30am,₹1,"Karachi Chicken Curry, Karachi Naan, Dabba Gosht, Fruit Cocktail, Gosht Nihari, Nalli Gosht","['Kashmiri', 'Mughlai', 'Arabian', 'BBQ', 'Seafood', 'Biryani', 'North Indian', 'Desserts']"
216,,4.0,614,"Basavanagudi, Bangalore",,₹400,,['Bakery']
217,,4.2,1,"Ulsoor, Bangalore",,₹200,,"['North Indian', 'Street Food']"
218,,3.3,12.1,"BTM, Bangalore","12midnight – 2am, 11am – 12midnight",₹400,,"['Chinese', 'Biryani', 'North Indian', 'South Indian', 'Street Food']"
219,"Hygiene, Presentation, Customizable Food, Elaborate Menu, Fresh Food, Good Quality",4.3,1,"Frazer Town, Bangalore",Opens at 12:30pm,₹400,,['Desserts']
220,"Bang for the Buck, Comfort Food, Great Recommendations, Reasonable Prices, Great Taste, Tasty",4.2,6,"BTM, Bangalore",,₹200,,"['Burger', 'Sandwich', 'Wraps', 'Fast Food']"
221,,3.9,100,"Brigade Road, Bangalore",,₹250,,"['Ice Cream', 'Beverages', 'Shake']"
222,,3.9,7,"Malleshwaram, Bangalore",Opens at 8am,₹300,"Idli, Masala Dosa, French Fries, Chutney","['South Indian', 'Street Food']"
223,,3.7,208,"Rajajinagar, Bangalore",,₹100,,['Chinese']
224,,3.8,460,"BTM, Bangalore","12midnight – 2am, 5pm – 12midnight",₹250,,"['Fast Food', 'Street Food', 'Healthy Food', 'Sandwich', 'Shake', 'Beverages', 'Desserts']"
225,"Reasonable Rate, Food Service, Quick Delivery, Best Food under Best Budget, Contactless Delivery, Proper Packaging",3.6,4,"BTM, Bangalore",24 Hours,₹250,"Paneer Bhurji, Matar Paneer, Butter Roti, Chapati, Paneer Butter Masala, Chole",['North Indian']
226,,4.1,2,"Rajajinagar, Bangalore","12midnight – 12:30am, 11:30am – 3:30pm, 6:30pm – 12midnight",₹150,,"['Biryani', 'North Indian', 'Chinese']"
227,,4.0,723,"Frazer Town, Bangalore",24 Hours,₹400,,"['Hyderabadi', 'Biryani']"
228,"Great Recommendations, Food Quantity, Amazing Food, Great Ambiance, Excellent Food, Great Taste",4.4,42.4,"BTM, Bangalore",Opens at 8am,₹300,"Paneer Parantha, Veg Thali, Aloo Paratha, Raita, Roti, Lassi",['North Indian']
229,"Fresh Food with Good Quality, Affordable Prices, Tamper Proof Packaging, Extensive Menu",3.8,2,"Koramangala 2nd Block, Bangalore",,₹200,,"['Pizza', 'Italian', 'Desserts']"
230,,3.9,265,"Koramangala 2nd Block, Bangalore",,₹100,,"['Chinese', 'Rolls', 'Momos']"
231,"Fantastic Decoration, Clean and Hygienic Place, Served Quickly, Nice Concept, Delicious Taste, Best Food under Best Budget",3.9,1,"Shanti Nagar, Bangalore",24 Hours,₹400,,"['Rajasthani', 'North Indian']"
232,"Cute Packaging, Food Presentation, Extensive Menu, Worth the Money, Timely Service, Delicious Food",4.5,2,"Koramangala 8th Block, Bangalore",Opens at 10am,₹350,"Strawberry Cheesecake, Tiramisu, Cheese Cake, Brownie","['Bakery', 'Desserts']"
233,,3.8,2,"Koramangala 7th Block, Bangalore",Opens at 8am,₹400,,"['Kerala', 'South Indian', 'North Indian', 'Chinese', 'Biryani', 'Beverages']"
234,"Bang for the Buck, Great Recommendations, Polite Staff, Great Ambiance, Awesome Place, Amazing Place",4.0,3,"Koramangala 6th Block, Bangalore",11am – 1am,₹500,"Loaded Pizzas, Ice Cream, Sauce, Fries","['Pizza', 'Fast Food']"
235,,4.3,1,"Koramangala 5th Block, Bangalore",,₹150,,"['North Indian', 'Chinese', 'Street Food']"
236,"Reasonable Cost, Gastronomical Experience, Excellent Taste, Cutlery, Good Quantity, Tasty",4.1,9,"Malleshwaram, Bangalore",Opens at 11am,₹950,,['Biryani']
237,"Customizable Food, Fresh Food, Good Quality, Value for Money, Experience",4.2,1,"MG Road, Bangalore",Opens at 9am,₹500,,"['Bakery', 'Desserts', 'Italian', 'Thai', 'Fast Food']"
238,,4.1,338,"BTM, Bangalore",,₹200,,"['Chinese', 'Momos', 'Sichuan', 'Seafood', 'Pizza']"
239,,3.8,2,"Richmond Road, Bangalore",,₹100,,"['Ice Cream', 'Healthy Food', 'Desserts', 'Bakery', 'Mithai']"
240,,3.7,430,"Richmond Road, Bangalore",,₹150,,"['Shawarma', 'Rolls', 'Chinese']"
241,"Customizable Food, Fresh Food, Value for Money, Good Quality",4.0,2,"Brigade Road, Bangalore","12midnight – 2am, 12:05pm – 12midnight",₹500,,"['Mangalorean', 'Biryani', 'Chinese', 'South Indian', 'Mughlai', 'Seafood', 'North Indian']"
242,"Customizable Food, Fresh Food, Elaborate Menu, Good Taste, Good Quality, Worth the Money",4.2,6,"Koramangala 5th Block, Bangalore",Opens at 8am,₹300,,"['Kerala', 'South Indian', 'Biryani', 'Seafood', 'Beverages']"
243,"Cute Packaging, Extensive Menu, Timely Service, Delicious Food, Food Presentation, Great Portions",3.9,1,"Indiranagar, Bangalore",Opens at 11am,₹100,,['Burger']
244,"Customizable Dishes, Good Wifi, Variety of Pizza, Weekend Brunch, Student Crowd, Cute Packaging",4.3,389,"Lavelle Road, Bangalore",8am – 1am,₹700,"Coffees, Cheesecake, Hot Chocolate, Sandwich","['Cafe', 'Coffee', 'Tea', 'Beverages', 'Sandwich', 'Fast Food', 'Desserts', 'Pizza']"
245,,4.3,465,"Basavanagudi, Bangalore","12midnight – 3am, 10am – 12midnight",₹350,,"['Desserts', 'Waffle', 'Beverages']"
246,"Good Taste, Worth the Money, Great Portions, Fresh Food, Good Quality, Delicious Food",4.0,4,"BTM, Bangalore",,₹200,,"['North Indian', 'Chinese', 'Sichuan']"
247,"Fancy Crowd, Parking, Best Place, Good Place, Menu, Portion",4.3,5,"Race Course Road, Bangalore","12midnight – 1am, 9:30am – 12midnight",₹400,"Tava Pulao, Chocolate Pan, Ice Cream Sundae, Fruit Bowl, Bhel Puri, Pav Bhaji","['Ice Cream', 'Desserts']"
248,,4.0,207,"Indiranagar, Bangalore",,₹500,,"['Pizza', 'Fast Food', 'Desserts']"
249,,4.3,172,"Koramangala 6th Block, Bangalore",Opens at 11am,₹150,,"['Ice Cream', 'Desserts']"
250,"Perfect Service, Good Server, Great Host, Good Wifi, Weekend Brunch, Customizable Food",4.4,1,"Forum Rex Walk, Bangalore","12midnight – 3am, 10am – 12midnight",₹1,"Peri Peri Sauce, Churros, Peri Peri Chicken, Cheesecake, Wings, Burger","['Burger', 'Healthy Food', 'Portuguese']"
251,,3.8,2,"Rajajinagar, Bangalore",24 Hours,₹250,,['North Indian']
252,"Extensive Menu, Delicious Food, Value for Money, Service, Taste",3.9,590,"Koramangala 5th Block, Bangalore","12midnight – 1am, 3:45pm – 12midnight",₹300,,"['Ice Cream', 'Desserts', 'Shake', 'Beverages']"
253,,4.3,171,"Koramangala 5th Block, Bangalore","12midnight – 1am, 11:30am – 12midnight",₹200,,['Ice Cream']
254,"Excellent Location, Fantastic Decoration, Best Staff, Clean and Hygienic Place, Served Quickly, Ambience was Super Cool",4.2,2,"1 Sobha, Bangalore","12midnight – 1am, 11am – 12midnight",₹1,"Morning Glory, Skillet Cookie, Dynamite Shrimps, Chicken Strips, Hot Chocolate, Cheese Cake","['Burger', 'American', 'Continental', 'Fast Food', 'Desserts', 'Coffee', 'Cafe', 'Beverages']"
255,"Taste of Food, Great Menu, Clean and Hygienic Place, Nice Concept, Best Food under Best Budget, Fresh Food",4.2,5,"BTM, Bangalore",,₹250,,"['Beverages', 'Shake', 'Healthy Food', 'Street Food']"
256,"Comfortable Seating Area, Family Crowd, Portions, Price, Menu, Value for Money",4.2,295,"Malleshwaram, Bangalore",Opens at 12noon,₹600,,"['North Indian', 'Mughlai', 'Chinese']"
257,,3.9,45,"BTM, Bangalore",,₹150,,['Andhra']
258,"Good Bartenders, Kid Friendly, Vintage Decor, Good Pricing, Pocket Friendly Place, Live Sports Screening",4.1,2,"Koramangala 7th Block, Bangalore",Opens at 11am,₹1,"Roasted Beef, Egg Ghee Roast, Keema Dosa, Anjal Fry, Pork Ribs, Chicken Wings","['South Indian', 'Biryani', 'Sandwich', 'Desserts', 'Bakery', 'Beverages']"
259,"Good Options, Contactless Delivery, Fresh Food with Good Quality, Proper Packaging, Extensive Menu, Packing",4.1,1,"Indiranagar, Bangalore",,₹350,"Parantha, Malai Kofta, Veg Thali, Butter Chicken, Rice","['North Indian', 'Mughlai']"
260,,3.0,51,"Rajajinagar, Bangalore",,₹200,,"['Fast Food', 'Pizza', 'Burger']"
261,,3.9,38,"Shanti Nagar, Bangalore",,₹250,,"['Rolls', 'Wraps', 'Shawarma']"
262,,4.2,4,"BTM, Bangalore",,₹250,,"['Burger', 'American', 'Sandwich', 'Salad', 'Wraps', 'Drinks Only', 'Desserts']"
263,"Cute Packaging, Worth the Money, Delicious Food, Timely Service, Portion Size, Value for Money",4.3,436,"BTM, Bangalore",,₹150,,"['Biryani', 'Shawarma']"
264,,3.4,1,"BTM, Bangalore",,₹100,,"['North Indian', 'South Indian', 'Chinese']"
265,"Good Food and Good Ambience, Amazing Food and Experience, Ample Seating Area, Ambience is very Nice, Gastronomical Experience, Relaxed Atmosphere",3.5,16.8,"BTM, Bangalore",11am – 3am,₹1,"Tandoori Malai Chaap, Tandoori Parantha, Paneer Patiala, Makke Ki Roti, Panner Tikka Masala, Authentic Punjabi Food","['North Indian', 'Mughlai', 'Biryani', 'Chinese', 'Asian', 'Desserts']"
266,,3.2,38,"Vasanth Nagar, Bangalore",,₹250,,"['Burger', 'American', 'Fast Food', 'Desserts', 'Shake', 'Beverages']"
267,"Tandoori, Good Quantity, Quick Service, Tasty Food, Good Food, Staff",3.8,22.9,"Koramangala 4th Block, Bangalore",Opens at 11am,₹500,,"['North Indian', 'Biryani', 'Chinese', 'South Indian']"
